,precision,recall,f1-score,support
cancel_order,0.9704433497536946,0.9899497487437185,0.9800995024875622,199.0
change_order,0.9797979797979798,0.9748743718592965,0.9773299748110831,199.0
change_shipping_address,0.9747474747474747,0.9948453608247423,0.9846938775510204,194.0
check_cancellation_fee,0.979381443298969,1.0,0.9895833333333334,190.0
check_invoice,0.9754901960784313,0.995,0.9851485148514851,200.0
check_payment_methods,0.9900497512437811,1.0,0.995,199.0
check_refund_policy,1.0,0.9748743718592965,0.9872773536895675,199.0
complaint,1.0,1.0,1.0,200.0
contact_customer_service,1.0,0.985,0.9924433249370277,200.0
contact_human_agent,0.9900497512437811,1.0,0.995,199.0
create_account,0.9895287958115183,0.949748743718593,0.9692307692307692,199.0
delete_account,0.9516908212560387,0.9899497487437185,0.9704433497536946,199.0
delivery_options,1.0,1.0,1.0,199.0
delivery_period,0.9900497512437811,1.0,0.995,199.0
edit_account,0.975609756097561,1.0,0.9876543209876543,200.0
get_invoice,0.9948717948717949,0.9748743718592965,0.9847715736040609,199.0
get_refund,0.995,1.0,0.9974937343358395,199.0
newsletter_subscription,1.0,0.9899497487437185,0.9949494949494949,199.0
payment_issue,1.0,0.9698492462311558,0.9846938775510204,199.0
place_order,0.9948979591836735,0.9798994974874372,0.9873417721518988,199.0
recover_password,1.0,1.0,1.0,199.0
registration_problems,0.9752475247524752,0.9899497487437185,0.9825436408977556,199.0
review,0.995,1.0,0.9974937343358395,199.0
set_up_shipping_address,1.0,0.9899497487437185,0.9949494949494949,199.0
switch_account,0.9949494949494949,0.985,0.9899497487437185,200.0
track_order,1.0,0.9798994974874372,0.9898477157360406,199.0
track_refund,1.0,1.0,1.0,199.0
accuracy,0.9893736017897091,0.9893736017897091,0.9893736017897091,0.9893736017897091
macro avg,0.9895113275677944,0.9893931187054017,0.9893681151440133,5364.0
weighted avg,0.9895418050159317,0.9893736017897091,0.9893736687528988,5364.0
