,precision,recall,f1-score,support
cancel_order,0.985,0.9899497487437185,0.9874686716791979,199.0
change_order,0.9798994974874372,0.9798994974874372,0.9798994974874372,199.0
change_shipping_address,0.9847715736040609,1.0,0.9923273657289002,194.0
check_cancellation_fee,0.979381443298969,1.0,0.9895833333333334,190.0
check_invoice,0.9801980198019802,0.99,0.9850746268656716,200.0
check_payment_methods,0.995,1.0,0.9974937343358395,199.0
check_refund_policy,1.0,0.9798994974874372,0.9898477157360406,199.0
complaint,1.0,1.0,1.0,200.0
contact_customer_service,1.0,0.995,0.9974937343358395,200.0
contact_human_agent,0.995,1.0,0.9974937343358395,199.0
create_account,1.0,0.964824120603015,0.9820971867007673,199.0
delete_account,0.9707317073170731,1.0,0.9851485148514851,199.0
delivery_options,1.0,1.0,1.0,199.0
delivery_period,0.995,1.0,0.9974937343358395,199.0
edit_account,0.9852216748768473,1.0,0.9925558312655087,200.0
get_invoice,0.9898477157360406,0.9798994974874372,0.9848484848484849,199.0
get_refund,1.0,1.0,1.0,199.0
newsletter_subscription,1.0,0.9899497487437185,0.9949494949494949,199.0
payment_issue,1.0,0.9748743718592965,0.9872773536895675,199.0
place_order,1.0,0.9849246231155779,0.9924050632911392,199.0
recover_password,1.0,1.0,1.0,199.0
registration_problems,0.9707317073170731,1.0,0.9851485148514851,199.0
review,1.0,1.0,1.0,199.0
set_up_shipping_address,1.0,0.9899497487437185,0.9949494949494949,199.0
switch_account,1.0,0.995,0.9974937343358395,200.0
track_order,0.98989898989899,0.9849246231155779,0.9874055415617129,199.0
track_refund,1.0,1.0,1.0,199.0
accuracy,0.9925428784489188,0.9925428784489188,0.9925428784489188,0.9925428784489188
macro avg,0.992617864049573,0.9925590917550716,0.9925353838321821,5364.0
weighted avg,0.9926478210990537,0.9925428784489188,0.9925423841216394,5364.0
